    Mat, Size, Cbef, Caft, Cdiag, Reduce,-log(1-Reduce), Time,Better,
wm1,277,2.135E+07,7.922E+03,6.662E+04,0.999629,3.430626,2.268211,8.409E+00,
wm2,260,1.244E+07,8.332E+05,5.324E+06,0.933019,1.174048,1.470060,6.390E+00,
wm3,260,9.514E+06,9.065E+05,1.103E+07,0.904718,1.020989,1.571223,1.217E+01,
bfwa398,398,8.959E+06,1.682E+06,1.791E+06,0.812196,0.726295,3.615892,1.065E+00,
bfwa62,62,3.059E+05,5.152E+04,5.508E+04,0.831580,0.773606,0.174470,1.069E+00,
bfwb398,398,4.465E+02,1.565E+02,2.912E+01,0.649453,0.455254,3.353016,1.861E-01,
bfwb62,62,2.958E+02,2.676E+01,2.729E+01,0.909552,1.043601,0.246814,1.020E+00,
bwm200,200,5.82E+06,3.29E+06,3.292E+06,0.434761,0.247768,0.546737,1.00060790273556E+00,
ck104,104,2.987E+07,1.143E+06,1.406E+06,0.961728,1.417119,0.203493,1.230E+00,
ck400,400,3.284E+07,1.001E+06,1.21E+06,0.969527,1.516085,1.006684,1.20879120879121E+00,
lop163,163,1.281E+06,5.703E+05,7.108E+05,0.554680,0.351328,0.470454,1.246E+00,
mhda416,416,2.466E+07,3.819E+05,1.99E+06,0.984513,1.810033,3.291940,5.21078816444095E+00,
olm100,100,4.48E+07,3.092E+07,5.322E+07,0.309857,0.161061,0.243572,1.721E+00,
olm500,500,3.185E+07,3.146E+07,6.098E+07,0.012234,0.005346,2.274321,1.938E+00,
pde225,225,1.526E+03,9.913E+02,1.009E+03,0.350364,0.187330,1.132055,1.018E+00,
rbsa480,480,5.333E+06,7.129E+05,1.213E+06,0.866327,0.873956,9.633158,1.702E+00,
rbsb480,480,1.038E+07,2.14E+06,3.135E+06,0.793806,0.685724,9.278184,1.46495327102804E+00,
rw136,136,1.302E+06,5.42E+05,8.482E+05,0.583550,0.380437,0.342707,1.56494464944649E+00,
rw496,496,1.315E+06,8.306E+05,1.325E+06,0.368444,0.199588,3.604414,1.595E+00,
tub100,100,4.427E+07,4.254E+07,4.311E+07,0.039051,0.017300,0.226566,1.013E+00,
cavity01,317,3.947E+07,6.467E+04,1.104E+05,0.998361,2.785421,2.054133,1.707E+00,
cavity02,317,1.823E+07,3.743E+04,6.269E+04,0.997946,2.687400,1.405985,1.675E+00,
mhdb416,416,4.824E+06,5.071E+01,6.303E+01,0.999989,4.958607,1.188644,1.243E+00,
odepa400,400,2.504E+07,1.593E+07,1.601E+07,0.363637,0.196295,0.933260,1.005E+00,
odepb400,400,1E+00,1E+00,1E+00,0.000000,0.000000,0.330884,1E+00,
cavity03,317,1.709E+07,5.32E+04,1.01E+05,0.996887,2.506821,2.020333,1.90E+00,
cavity04,317,1.966E+07,9.305E+04,1.743E+05,0.995268,2.324955,1.563758,1.873E+00,
